indicator,n,label
SH_MED_HWRKDIS,2,"Health worker distribution, by sex and type of occupation [3.c.1]"
SP_DYN_ADKL,2,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) [3.7.2]"
VC_PRR_PHYV,2,"Police reporting rate for physical assault in the previous 12 months, by sex (%) [16.3.1]"
VC_PRR_PHY_VIO,2,"Police reporting rate for physical violence in the previous 12 months, by sex (%) [16.3.1]"
VC_PRR_ROBB,2,"Police reporting rate for robbery in the previous 12 months, by sex (%) [16.3.1]"
VC_VAW_MARR,2,Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months [5.2.1]
VC_VAW_NONMARR,2,Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months [5.2.2]
VC_VOV_PHYL,2,Proportion of population subjected to physical violence in the previous 12 months [16.1.3]
VC_VOV_PHY_ASLT,2,"Proportion of population subjected to physical assault in the previous 12 months, by sex (%) [16.1.3]"
VC_VOV_ROBB,2,Proportion of population subjected to robbery in the previous 12 months [16.1.3]
AG_LND_AGRBIO,1,Proportion of agricultural land area that has achieved an acceptable or desirable level of use of agro-biodiversity supportive practices [2.4.1]
AG_LND_AGRWAG,1,Proportion of agricultural land area that has achieved an acceptable or desirable level of wage rate in agriculture [2.4.1]
AG_LND_FERTMG,1,Proportion of agricultural land area that has achieved an acceptable or desirable level of management of fertilizers [2.4.1]
AG_LND_FIES,1,Proportion of agricultural land area that has achieved an acceptable or desirable level of food security [2.4.1]
AG_LND_FOVH,1,Proportion of agricultural land area that has achieved an acceptable or desirable level of farm output value per hectare [2.4.1]
AG_LND_H2OAVAIL,1,Proportion of agricultural land area that has achieved an acceptable or desirable level of variation in water availability [2.4.1]
AG_LND_LNDSTR,1,Proportion of agricultural land area that has achieved an acceptable or desirable level of secure tenure rights to agricultural land [2.4.1]
AG_LND_NFI,1,Proportion of agricultural land area that has achieved an acceptable or desirable level of net farm income [2.4.1]
AG_LND_PSTCDSMG,1,Proportion of agricultural land area that has achieved an acceptable or desirable level of management of pesticides [2.4.1]
AG_LND_RMM,1,Proportion of agricultural land area that has achieved an acceptable or desirable level of risk mitigation mechanisms [2.4.1]
AG_LND_SDGRD,1,Proportion of agricultural land area that has achieved an acceptable or desirable level of soil degradation [2.4.1]
AG_LND_SUST,1,Proportion of agricultural area under productive and sustainable agriculture [2.4.1]
AG_LND_SUST_PRXCSS,1,"[PROXY] Progress toward productive and sustainable agriculture, current status score [2.4.1]"
AG_LND_SUST_PRXTS,1,"[PROXY] Progress toward productive and sustainable agriculture, trend score [2.4.1]"
AG_PRD_AGVAS,1,Agriculture value added share of GDP [2.a.1]
AG_PRD_ORTIND,1,Agriculture orientation index for government expenditures [2.a.1]
AG_XPD_AGSGB,1,Agriculture share of Government Expenditure [2.a.1]
CBR vital_stats,1,
EG_EGY_RNEW,1,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
EG_FEC_RNEW,1,Renewable energy share in the total final energy consumption [7.2.1]
EN_WWT_GEN,1,Total wastewater generated (million m3/year) [6.3.1]
EN_WWT_TREAT,1,Total wastewater treated (million m3/year) [6.3.1]
EN_WWT_TREATR,1,Proportion of wastewater treated [6.3.1]
EN_WWT_WWDS,1,Proportion of safely treated domestic wastewater flows [6.3.1]
ER_GRF_ANIMKPT,1,Number of local breeds kept in the country [2.5.1]
ER_GRF_ANIMKPT_TRB,1,Number of transboundary breeds (including extinct ones) [2.5.1]
ER_GRF_ANIMRCNTN,1,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
ER_GRF_ANIMRCNTN_TRB,1,Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1]
ER_GRF_PLNTSTOR,1,Plant genetic resources accessions stored ex situ (number) [2.5.1]
FER_05 dhs_cbr,1,
GF_XPD_GBPC,1,Primary government expenditures as a proportion of original approved budget [16.6.1]
IC_GEN_MGTL,1,Proportion of women in managerial positions - 13th ICLS (%) [5.5.2]
IC_GEN_MGTN,1,Proportion of women in senior and middle management positions - 13th ICLS (%) [5.5.2]
IT_MOB_2GNTWK,1,Proportion of population covered by at least a 2G mobile network [9.c.1]
IT_MOB_3GNTWK,1,Proportion of population covered by at least a 3G mobile network [9.c.1]
IT_MOB_4GNTWK,1,Proportion of population covered by at least a 4G mobile network [9.c.1]
IT_MOB_5GNTWK,1,Proportion of population covered by at least a 5G mobile network [9.c.1]
visitors,1,
NY_GDP_PCAP,1,Annual growth rate of real GDP per capita [8.1.1]
SE_ACC_HNDWSH,1,"Proportion of schools with basic handwashing facilities, by education level [4.a.1]"
SE_ACS_CMPTR,1,"Proportion of schools with access to computers for pedagogical purposes, by education level [4.a.1]"
SE_ACS_ELECT,1,"Proportion of schools with access to electricity, by education level [4.a.1]"
SE_ACS_H2O,1,"Proportion of schools with access to basic drinking water, by education level [4.a.1]"
SE_ACS_INTNT,1,"Proportion of schools with access to the internet for pedagogical purposes, by education level [4.a.1]"
SE_ACS_SANIT,1,"Proportion of schools with access to single-sex basic sanitation, by education level [4.a.1]"
SE_GPI_PTNPRE,1,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]"
SE_GPI_TCAQ,1,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio) [4.5.1]"
SE_INF_DSBL,1,Proportion of schools with access to adapted infrastructure and materials for students with disabilities [4.a.1]
SE_SGE_BIODIV,1,"Score on greening education in biodiversity [4.7.1,12.8.1,13.3.1]"
SE_SGE_CLIMCH,1,"Score on greening education in climate change [4.7.1,12.8.1,13.3.1]"
SE_SGE_ENVSUST,1,"Score on greening education in environment and sustainability [4.7.1,12.8.1,13.3.1]"
SE_SGE_OVERALL,1,"Score on greening education in environment and sustainability, climate change, and biodiversity [4.7.1,12.8.1,13.3.1]"
SE_TOT_PRFL,1,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1]
SG_CPA_MIGRS,1,"Countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (1 = Requires further progress; 2 = Partially meets; 3 = Meets; 4 = Fully meets) [10.7.2]"
SG_DMK_PARLMP_LC,1,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral [16.7.1]"
SG_GEN_LOCGELS,1,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1]
SG_GEN_PARL,1,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1]
SG_GEN_PARLN,1,Number of seats held by women in national parliaments [5.5.1]
SG_GEN_PARLNT,1,Current number of seats in national parliaments [5.5.1]
SG_INF_ACCSS,1,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information [16.10.2]"
SG_REG_BRTH90N,1,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
SG_REG_DETH75N,1,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
SH_ACS_UNHC_25,1,"Universal health coverage (UHC) service coverage index, 2025 methodology [3.8.1]"
SH_ALC_CONSPT,1,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
SH_DYN_NMRT,1,Neonatal mortality rate [3.2.2]
SH_DYN_NMRTN,1,Neonatal deaths (number) [3.2.2]
SH_FPL_INFM,1,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]"
SH_FPL_INFMCU,1,Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years) [5.6.1]
SH_FPL_INFMRH,1,Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years) [5.6.1]
SH_FPL_INFMSR,1,Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years) [5.6.1]
SH_FPL_MTMM,1,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1]
SH_IHR_CAPS,1,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]"
SH_MED_DEN,1,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]"
SH_STA_BRTC,1,Proportion of births attended by skilled health personnel [3.1.2]
SH_STA_MALR,1,"Malaria incidence per 1,000 population at risk [3.3.3]"
SH_STA_MORT,1,Maternal mortality ratio [3.1.1]
SH_STA_WASHARI,1,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene from diarrhoea, intestinal nematode infections, malnutrition and acute respiratory infections [3.9.2]"
SH_STA_WAST,1,Proportion of children moderately or severely wasted [2.2.2]
SH_STA_WASTN,1,Children moderately or severely wasted (number) [2.2.2]
SH_TBS_INCD,1,Tuberculosis incidence [3.3.2]
SH_TRP_INTVN,1,Number of people requiring interventions against neglected tropical diseases [3.3.5]
SI_COV_MATNL,1,Proportion of mothers with newborns receiving maternity cash benefit [1.3.1]
SI_COV_POOR,1,Proportion of poor population receiving social assistance cash benefit [1.3.1]
SI_COV_SOCAST,1,Proportion of population covered by social assistance programs [1.3.1]
SI_COV_SOCINS,1,Proportion of population covered by social insurance programs [1.3.1]
SI_HEI_TOTL,1,Growth rates of household expenditure or income per capita [10.1.1]
SI_POV_50MI,1,Proportion of people living below 50 percent of median income [10.2.1]
SI_POV_NAHC,1,Proportion of population living below the national poverty line [1.2.1]
SI_RMT_COST,1,Average remittance costs of sending $200 to a receiving country as a proportion of the amount remitted [10.c.1]
SL_EMP_GTOTL,1,Labour share of GDP [10.4.1]
SL_TLF_MANF,1,Manufacturing employment as a proportion of total employment - 13th ICLS (%) [9.2.2]
SL_TLF_MANF_19ICLS,1,Manufacturing employment as a proportion of total employment - 19th ICLS(%) [9.2.2]
SN_ITK_DEFC,1,Prevalence of undernourishment [2.1.1]
SN_ITK_DEFCN,1,Number of undernourish people [2.1.1]
SP_DYN_MRBF15,1,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1]
SP_DYN_MRBF18,1,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1]
ST_EMP_TRSMN,1,Employed persons in the tourism industries (number) [8.9.2]
ST_GDP_ZS,1,Tourism direct GDP as a proportion of total GDP [8.9.1]
