series,not_national_statistic,label
SE_ADT_ALP_LITR,,Adjusted location parity index for youth/adult literacy rate (ratio) [4.5.1]
SE_ADT_AMP_LITR,,Adjusted immigration status parity index for youth/adult literacy rate [4.5.1]
SE_ADT_AWP_LITR,,Adjusted wealth parity index for youth/adult literacy rate (ratio) [4.5.1]
SE_ADT_EDUCTRN,,Participation rate in formal and non-formal education and training [4.3.1]
SE_ADT_LITR,,Youth/adult literacy rate [4.6.1]
SE_AGP_CPRA,,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]"
SE_ALP_CPLR,,"Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]"
SE_AWP_CPRA,,"Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]"
SE_GPI_PART,,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio) [4.5.1]
SE_GPI_PTNPRE,,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]"
SE_GPI_TCAQ,,"Adjusted gender parity index for the proportion of teachers with the minimum required qualifications, by education level (ratio) [4.5.1]"
SE_INF_DSBL,,Proportion of schools with access to adapted infrastructure and materials for students with disabilities [4.a.1]
SE_PRE_PARTN,,Participation rate in organized learning (one year before the official primary entry age) [4.2.2]
SE_SGE_BIODIV,,"Score on greening education in biodiversity [4.7.1,12.8.1,13.3.1]"
SE_SGE_CLIMCH,,"Score on greening education in climate change [4.7.1,12.8.1,13.3.1]"
SE_SGE_ENVSUST,,"Score on greening education in environment and sustainability [4.7.1,12.8.1,13.3.1]"
SE_SGE_OVERALL,,"Score on greening education in environment and sustainability, climate change, and biodiversity [4.7.1,12.8.1,13.3.1]"
SE_TOT_PRFL,,Proportion of children and young people achieving a minimum proficiency level in reading and mathematics [4.1.1]
SE_TRA_GRDL,,"Proportion of teachers with the minimum required qualifications, by education level and sex [4.c.1]"
SG_CPA_MIGRS,,"Countries with migration policies to facilitate orderly, safe, regular and responsible migration and mobility of people, by policy domain (1 = Requires further progress; 2 = Partially meets; 3 = Meets; 4 = Fully meets) [10.7.2]"
SG_DMK_JDC,,Proportions of positions in the judiciary compared to national distributions [16.7.1]
SG_DMK_JDC_CNS,,"Proportions of positions in the judiciary compared to national distributions, Constitutional Court [16.7.1]"
SG_DMK_JDC_HGR,,"Proportions of positions in the judiciary compared to national distributions, Higher Courts [16.7.1]"
SG_DMK_JDC_LWR,,"Proportions of positions in the judiciary compared to national distributions, Lower Courts [16.7.1]"
SG_DMK_PARLCC_LC,,"Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]"
SG_DMK_PARLMP_LC,,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral [16.7.1]"
SG_DMK_PARLSP_LC,,"Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral [16.7.1]"
SG_DMK_PARLYTHN_LC,,"Number of youth in parliament, Lower Chamber or Unicameral [16.7.1]"
SG_DMK_PARLYTHP_LC,,"Proportion of youth in parliament, Lower Chamber or Unicameral [16.7.1]"
SG_DMK_PARLYTHR_LC,,"Ratio of young members in parliament (Ratio of the proportion of young members in parliament in the proportion of the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral [16.7.1]"
SG_DMK_PSRVC,,Proportions of positions in the public service compared to national distributions [16.7.1]
SG_GEN_LOCGELS,,Proportion of elected seats held by women in deliberative bodies of local government [5.5.1]
SG_GEN_PARL,,Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1]
SG_GEN_PARLN,,Number of seats held by women in national parliaments [5.5.1]
SG_GEN_PARLNT,,Current number of seats in national parliaments [5.5.1]
SG_INF_ACCSS,,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information [16.10.2]"
SG_REG_BRTH,,Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1]
SG_REG_BRTH90N,,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
SG_REG_DETH75N,,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
SH_ACS_UNHC_25,,"Universal health coverage (UHC) service coverage index, 2025 methodology [3.8.1]"
SH_ALC_CONSPT,,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2]
SH_DTH_NCOM,,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease [3.4.1]"
SH_DYN_IMRT,,Infant mortality rate [3.2.1]
SH_DYN_IMRTN,,Infant deaths (number) [3.2.1]
SH_DYN_MORT,,Under-five mortality rate [3.2.1]
SH_DYN_MORTN,,Under-five deaths (number) [3.2.1]
SH_DYN_NMRT,,Neonatal mortality rate [3.2.2]
SH_DYN_NMRTN,,Neonatal deaths (number) [3.2.2]
SH_FPL_INFM,,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]"
SH_FPL_INFMCU,,Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years) [5.6.1]
SH_FPL_INFMRH,,Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years) [5.6.1]
SH_FPL_INFMSR,,Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years) [5.6.1]
SH_FPL_MTMM,,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1]
SH_H2O_SAFE,,Proportion of population using safely managed drinking water services [6.1.1]
SH_IHR_CAPS,,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]"
SH_MED_DEN,,"Health worker density, by type of occupation (per 10,000 population) [3.c.1]"
SH_MED_HWRKDIS,,"Health worker distribution, by sex and type of occupation [3.c.1]"
SH_PRV_SMOK,,Age-standardized prevalence of current tobacco use among persons aged 15 years and older [3.a.1]
SH_SAN_DEFECT,,Proportion of population practicing open defecation [6.2.1]
SH_SAN_HNDWSH,,Proportion of population with basic handwashing facilities on premises [6.2.1]
SH_SAN_SAFE,,Proportion of population using safely managed sanitation services [6.2.1]
SH_STA_BRTC,,Proportion of births attended by skilled health personnel [3.1.2]
SH_STA_MALR,,"Malaria incidence per 1,000 population at risk [3.3.3]"
SH_STA_MORT,,Maternal mortality ratio [3.1.1]
SH_STA_STNT,,Proportion of children moderately or severely stunted [2.2.1]
SH_STA_STNTN,,Children moderately or severely stunted (number) [2.2.1]
SH_STA_WASHARI,,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene from diarrhoea, intestinal nematode infections, malnutrition and acute respiratory infections [3.9.2]"
SH_STA_WAST,,Proportion of children moderately or severely wasted [2.2.2]
SH_STA_WASTN,,Children moderately or severely wasted (number) [2.2.2]
SH_TBS_INCD,,Tuberculosis incidence [3.3.2]
SH_TRP_INTVN,,Number of people requiring interventions against neglected tropical diseases [3.3.5]
SI_AGR_LSFP,,Average income of large-scale food producers [2.3.2]
SI_AGR_SSFP,,Average income of small-scale food producers [2.3.2]
SI_COV_BENFTS,,Proportion of population covered by at least one social protection benefit [1.3.1]
SI_COV_CHLD,,Proportion of children/households receiving child/family cash benefit [1.3.1]
SI_COV_DISAB,,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1]
